"Year";"Pos";"Class";"No";"TeamCtry";"Team";"DrCtry";"Drivers";"Chassis";"Engine";"Tyres";"Laps";"Distance";"Time";"Reason"
"1928";"1";"5.0";"4";"GBR";"Bentley Motors Limited";"GBR|AUS";"Woolf Barnato|Bernard Rubin";"Bentley 4? Litre";"Bentley 4.4L S4";"Dunlop";"155";"2669.272";"";""
"1928";"2";"5.0";"1";"FRA";"Société de Carrosserie Weymann";"FRA|FRA";"Édouard Brisson|Robert Bloch";"Stutz Model BB Blackhawk";"Stutz 4.9L S8";"Dunlop";"154";"2656.594";"";""
"1928";"3";"5.0";"8";"FRA";"Grand Garage Saint-Didier Paris";"FRA|FRA";"André Rossignol|Henri Stoffel";"Chrysler Six 72";"Chrysler 4.1L S6";"Dunlop";"144";"2493.853";"";""
"1928";"4";"5.0";"7";"FRA";"Grand Garage Saint-Didier Paris";"ROU|ROU";"Ionel Ghica-Cantacuzino|Gheorghe Ghica-Cantacuzino";"Chrysler Six 72";"Chrysler 4.1L S6";"Dunlop";"140";"2412.187";"";""
"1928";"5";"5.0";"3";"GBR";"Bentley Motors Limited";"GBR|FRA";"Sir Henry ""Tim"" Birkin|Jean Chassagne";"Bentley 4½ Litre";"Bentley 4.4L S4";"Dunlop";"135";"2335.351";"";""
"1928";"6";"1.5";"27";"GBR";"Alvis Car & Engineering Company";"GBR|GBR";"Maurice Harvey|Harold Purdy";"Alvis FA12/50";"Alvis 1.5L S4";"Dunlop";"132";"2286.382";"";""
"1928";"7";"1.1";"32";"FRA";"Bollack, Netter et Cie";"FRA|FRA";"Michel Doré|Jean Treunet";"B.N.C. Type H Monza";"B.N.C. 1.1L S4";"Dunlop";"132";"2270.066";"";""
"1928";"8";"2.0";"12";"ITA";"Itala SA Fabbrica Automobili";"FRA|FRA";"Robert Benoist|Christian Dauvergne";"Itala Tipo 65 S";"Itala 2.0L S6";"Dunlop";"131";"2258.171";"";""
"1928";"9";"1.5";"28";"GBR";"Alvis Car & Engineering Company";"GBR|GBR";"Sammy Davis|Bill Urquhart-Dykes";"Alvis FA12/50";"Alvis 1.5L S4";"Dunlop";"130";"2246.016";"";""
"1928";"10";"1.1";"35";"FRA";"Société des Moteurs Salmson";"FRA|FRA";"Georges Casse|André Rousseau";"Salmson Grand Sport";"Salmson 1.1L S4";"Dunlop";"128";"2208.444";"";""
"1928";"11";"2.0";"16";"GBR";"Lagonda Motor Company";"FRA|GBR";"Baron André d'Erlanger|Douglas Hawkes";"Lagonda 2 Litre Speed Model";"Lagonda 2.0L S4";"Dunlop";"126";"2178.259";"";""
"1928";"12";"1.5";"29";"FRA";"SA des Automobiles Tracta";"FRA|FRA";"Louis Balart|Maurice Benoist";"Tracta Type A";"S.C.A.P. 1.5L S4";"Dunlop";"119";"2054.178";"";""
"1928";"13";"1.1";"37";"FRA";"Automobiles Lombard SA";"FRA|FRA";"Lucien Desvaux|Pierre Goutte";"Lombard AL3 Grand Air Sport";"Lombard 1.1L S4";"Englebert";"117";"2016.707";"";""
"1928";"14";"1.1";"36";"FRA";"Établissements Henri Précloux";"FRA|FRA";"Guy Bouriat|Pierre Bussienne";"E.H.P. Type DU";"C.I.M.E. 1.1L S6";"Dunlop";"116";"1996.891";"";""
"1928";"15";"2.0";"19";"FRA";"Société des Applications à Refroidissement par Air";"FRA|FRA";"Gaston Duval|Gaston Mottet";"S.A.R.A. SP7";"S.A.R.A. 1.8L S6";"Englebert";"115";"1974.190";"";""
"1928";"16";"1.1";"31";"FRA";"SA des Automobiles Tracta";"FRA|ARG";"Roger Bourcier|Hector Vasena";"Tracta Gephi";"S.C.A.P. 1.1L S4";"BF Goodrich";"110";"1905.147";"";""
"1928";"17";"1.1";"42";"FRA";"SA des Automobiles Tracta";"FRA|FRA";"Jean-Albert Grégoire|Fernand Vallon";"Tracta Type A";"S.C.A.P. 1.1L S4";"Dunlop";"108";"1870.739";"";""
