"Year";"Pos";"Class";"No";"TeamCtry";"Team";"DrCtry";"Drivers";"Chassis";"Engine";"Tyres";"Laps";"Distance";"Time";"Reason"
"1934";"1";"3.0";"9";"ITA|FRA";"Luigi Chinetti|Philippe ?tancelin";"ITA|FRA";"Luigi Chinetti|Philippe ?tancelin";"Alfa Romeo 8C 2300";"Alfa Romeo 2.3L Supercharged S8";"Englebert";"213";"2886.938";"";""
"1934";"2";"1.5";"27";"GBR";"Riley Motor Company Ltd.";"FRA|FRA";"Jean Sébilleau|Georges Delaroche";"Riley 6/12 MPH Racing";"Riley 1.5L S6";"";"200";"2706.730";"";""
"1934";"3";"1.5";"28";"GBR";"Riley Motor Company Ltd.";"GBR|GBR";"Freddie Dixon|Cyril Paul";"Riley 6/12 MPH Racing";"Riley 1.5L S6";"";"199";"2688.156";"";""
"1934";"4";"1.1";"34";"GBR";"Roy Eccles";"GBR|GBR";"Charles E.C. Martin|Roy Eccles";"MG K3";"MG 1.1L Supercharged S4";"";"197";"2665.030";"";""
"1934";"5";"1.1";"36";"GBR";"Riley Motor Company Ltd.";"GBR|GBR";"Alex van der Becke|Kenneth Peacock";"Riley Brooklands";"Riley 1.1L S4";"";"195";"2640.694";"";""
"1934";"6";"1.1";"37";"GBR";"Riley Motor Company Ltd.";"GBR|GBR";"Sammy Newsome|Percy Maclure";"Riley Nine Ulster Imp";"Riley 1.1L S4";"";"195";"2637.932";"";""
"1934";"7";"1.5";"26";"GBR";"A.A. Rigby";"GBR|GBR";"Brian Lewis, Baron Essendon|Johnny Hindmarsh";"Singer Le Mans 1½ Litre";"Singer 1.5L S4";"";"195";"2631.672";"";""
"1934";"8";"1.5";"25";"GBR";"Frank Stanley Barnes";"GBR|GBR";"Frank Stanley Barnes|Alf Langley";"Singer Le Mans 1½ Litre";"Singer 1.5L S4";"";"192";"2598.458";"";""
"1934";"9";"3.0";"4";"FRA";"Norbert Jean Mahé (private entrant)";"FRA|FRA";"Norbert Jean Mahé|Jean Desvignes";"Bugatti Type 44";"Bugatti 3.0L S8";"";"191";"2584.622";"";""
"1934";"10";"1.5";"20";"GBR";"M.R.E. Tongue";"GBR|GBR";"Reggie Tongue|Maurice Faulkner";"Aston Martin 1½ Le Mans";"Aston Martin 1.5L S4";"";"188";"2541.334";"";""
"1934";"11";"1.5";"24";"GBR";"John Cecil Noël";"GBR|GBR";"John Cecil Noël|Jen Wheeler";"Aston Martin 1½ Le Mans";"Aston Martin 1.5L S4";"";"180";"2435.526";"";""
"1934";"12";"1.1";"39";"FRA";"Jean Trévoux";"FRA|FRA";"Jean Trévoux|René Carriére";"Riley Nine Ulster Imp";"Riley 1.1L S4";"";"174";"2352.688";"";""
"1934";"13";"1.1";"38";"GBR";"Miss Dorothy Champney";"GBR|CAN";"Miss Dorothy Champney|Mrs. Kay Petre";"Riley Nine Ulster Imp";"Riley 1.1L S4";"";"172";"2327.924";"";""
"1934";"14";"1.1";"32";"FRA";"Jean de Gavardie";"FRA|USA";"Jean de Gavardie|George Stewart";"Amilcar C6";"Amilcar 1.1L S6";"";"168";"2271.096";"";""
"1934";"15";"1.1";"48";"GBR";"Singer Ltd.";"GBR|GBR";"Norman Black|J.R.H. Baker";"Singer Nine Le Mans";"Singer 1.0L S4";"";"163";"2203.376";"";""
"1934";"16";"1.1";"40";"GBR";"Lord de Clifford";"GBR|GBR";"Freddie de Clifford|Charles Brackenbury";"Lagonda Rapier ""De Clifford Special""";"Lagonda 1.1L S4";"";"163";"2199.342";"";""
"1934";"17";"1.1";"52";"FRA";"Mme Anne-Cécile Rose-Itier";"FRA|FRA";"Mme Anne-Cécile Rose-Itier|Charles Duruy";"MG PA Midget";"MG 0.8L S4";"";"162";"2191.198";"";""
"1934";"18";"1.1";"47";"GBR";"Singer Ltd.";"GBR|GBR";"Tommy Wisdom|John Donald Barnes";"Singer Nine Le Mans";"Singer 1.0L S4";"";"161";"2180.484";"";""
"1934";"19";"1.1";"44";"FRA";"J.A. Grégoire";"FRA|FRA";"Félix Quinault|Daniélault";"Tracta";"Tracta 1.0L S4";"";"158";"2131.724";"";""
"1934";"20";"1.1";"42";"FRA";"Charles Auguste Martin";"FRA|FRA";"Charles Auguste Martin|Fernand Pousse";"Amilcar CG ""Spéciale Martin""";"Amilcar 1.1L S4";"";"155";"2094.952";"";""
"1934";"21";"1.1";"45";"FRA";"Alin Fréres";"FRA|FRA";"Adrien Alin|Albert Alin";"B.N.C.";"B.N.C. 1.0L S4";"";"150";"2027.786";"";""
"1934";"22";"1.1";"31";"FRA";"Ecurie de l'Ours";"FRA|FRA";"Camille Poiré|Gaston Robail";"Amilcar C6";"Amilcar 1.1L S6";"";"148";"2008.228";"";""
"1934";"23";"1.1";"50";"GBR";"R.P. Gardner";"GBR|GBR";"Goldie Gardner|A.C. Beloë";"Singer Nine Le Mans";"Singer 1.0L S4";"";"143";"1939.012";"";""
"1934";"DNF";"1.5";"23";"GBR";"Aston Martin Ltd.";"GBR|GBR";"Mortimer Morris-Goodall|Jim Elwes";"Aston Martin 1½ Le Mans";"Aston Martin 1.5L S4";"";"155";"2091.260";"";"Engine (crankshaft)"
"1934";"DNF";"1.5";"22";"GBR";"Aston Martin Ltd.";"GBR|GBR";"Thomas Fotheringham-Parker|John Appleton";"Aston Martin 1½ Le Mans";"Aston Martin 1.5L S4";"";"142";"1910.864";"";"Electrics (magneto)"
"1934";"DNF";"5.0";"3";"FRA";"Just-Émile Vernet (private entrant)";"FRA|FRA";"Just-Émile Vernet|Daniel Porthault";"Lorraine-Dietrich B3-6";"Lorraine-Dietrich 3.5L S6";"";"133";"1794.436";"";"Engine (piston)"
"1934";"DNF";"750";"54";"GBR";"H. Bridgman Metchim";"GBR|GBR";"H. Bridgman Metchim|C.H. Masters";"Austin 7";"Austin 0.7L S4";"";"95";"1281.740";"";""
